dt,PM2.5_micro_raw,PM2.5_calibrated,PM2.5_station_truth,PM10_micro_raw,PM10_calibrated,PM10_station_truth,CO_micro_raw,CO_calibrated,CO_station_truth,NO2_micro_raw,NO2_calibrated,NO2_station_truth,SO2_micro_raw,SO2_calibrated,SO2_station_truth,O3_micro_raw,O3_calibrated,O3_station_truth
2018-11-14 10:00:00,50.0,36.83648421502658,33,98.0,71.81909044994529,71,0.8,1.0246073274619119,0.756,62.0,11.18192956416323,9,15.0,15.0,25,46.0,46.0,80
2018-11-14 11:00:00,41.66666666666666,29.342840924290314,32,83.66666666666667,60.26876487737551,69,0.7333333333333334,0.8909487093130706,0.736,52.0,10.783664197762059,9,15.333333333333334,15.333333333333334,22,57.66666666666666,57.66666666666666,86
2018-11-14 12:00:00,45.0,33.00243429564541,33,88.0,62.07137836592943,64,0.7666666666666666,0.9962070769068725,0.804,41.333333333333336,11.569207201543334,9,15.666666666666666,15.666666666666666,26,70.33333333333333,70.33333333333333,88
2018-11-14 13:00:00,42.5,33.26019444670204,35,86.5,58.748405475489854,63,0.75,0.9278820997457904,0.75,46.0,10.66732549925691,8,15.25,15.25,26,64.5,64.5,88
2018-11-14 14:00:00,46.66666666666666,30.268236465807853,30,91.66666666666669,63.46602507166303,69,0.7333333333333334,1.0227250054063723,0.855,58.0,10.57284970523006,8,15.666666666666666,15.666666666666666,34,61.0,61.0,88
2018-11-14 15:00:00,52.333333333333336,33.69837172994463,33,97.66666666666669,71.29746336425731,76,0.7333333333333334,0.9660466748566099,0.763,59.333333333333336,10.462329609110384,8,14.666666666666666,14.666666666666666,37,63.0,63.0,89
2018-11-14 16:00:00,48.16666666666666,37.52036356779583,37,93.66666666666669,71.70249753023525,79,0.75,1.0046867528888015,0.768,54.66666666666666,10.326582507548762,8,15.833333333333334,15.833333333333334,47,65.0,65.0,77
2018-11-14 17:00:00,44.8,39.09757614957541,44,90.4,72.32120100767601,82,0.7399999999999999,1.0600951626931618,0.863,84.0,10.292838949109624,8,15.4,15.4,72,84.4,84.4,40
2018-11-14 18:00:00,48.2,44.35271121448874,48,95.4,90.44370397050946,102,0.76,1.135594768347056,0.876,92.2,10.165416642621611,8,16.0,16.0,56,112.2,112.2,50
2018-11-14 19:00:00,55.333333333333336,44.10930393472799,40,103.83333333333331,92.57138477678231,92,0.7666666666666666,1.4310428634222878,0.994,73.0,10.477240038263792,7,16.166666666666668,16.166666666666668,81,107.66666666666669,107.66666666666669,22
